hs from to value
hs13 32889617 32890441 0
hs13 32890442 32890442 1
hs13 32890443 32890443 261
hs13 32890444 32890444 268
hs13 32890445 32890445 274
hs13 32890446 32890448 275
hs13 32890449 32890449 277
hs13 32890450 32890739 278
hs13 32890740 32890743 277
hs13 32890744 32890745 276
hs13 32890746 32890746 275
hs13 32890747 32890747 274
hs13 32890748 32890748 273
hs13 32890749 32890750 272
hs13 32890751 32890751 262
hs13 32890752 32890752 6
hs13 32890753 32893036 0
hs13 32893037 32893037 219
hs13 32893038 32893038 224
hs13 32893039 32893039 229
hs13 32893040 32893041 230
hs13 32893042 32893377 231
hs13 32893378 32893378 232
hs13 32893379 32893379 473
hs13 32893380 32893380 475
hs13 32893381 32893382 476
hs13 32893383 32893386 478
hs13 32893387 32893402 479
hs13 32893403 32893414 480
hs13 32893415 32893417 479
hs13 32893418 32893421 478
hs13 32893422 32893422 477
hs13 32893423 32893709 249
hs13 32893710 32893722 248
hs13 32893723 32893723 247
hs13 32893724 32893724 246
hs13 32893725 32893725 243
hs13 32893726 32893726 233
hs13 32893727 32893727 3
hs13 32893728 32899058 0
hs13 32899059 32899059 2
hs13 32899060 32899060 10
hs13 32899061 32899061 259
hs13 32899062 32899066 264
hs13 32899067 32899075 265
hs13 32899076 32899431 267
hs13 32899432 32899435 266
hs13 32899436 32899437 265
hs13 32899438 32899438 263
hs13 32899439 32899440 262
hs13 32899441 32899441 259
hs13 32899442 32899442 2
hs13 32899443 32900043 0
hs13 32900044 32900044 2
hs13 32900045 32900045 215
hs13 32900046 32900046 220
hs13 32900047 32900048 222
hs13 32900049 32900050 223
hs13 32900051 32900054 243
hs13 32900055 32900254 244
hs13 32900255 32900255 246
hs13 32900256 32900256 372
hs13 32900257 32900257 374
hs13 32900258 32900259 375
hs13 32900260 32900263 376
hs13 32900264 32900268 377
hs13 32900269 32900271 401
hs13 32900272 32900358 402
hs13 32900359 32900369 401
hs13 32900370 32900393 400
hs13 32900394 32900398 398
hs13 32900399 32900400 396
hs13 32900401 32900401 392
hs13 32900402 32900402 160
hs13 32900403 32900495 158
hs13 32900496 32900498 157
hs13 32900499 32900499 153
hs13 32900500 32900500 152
hs13 32900501 32900501 149
hs13 32900502 32900582 0
hs13 32900583 32900584 1
hs13 32900585 32900585 204
hs13 32900586 32900587 210
hs13 32900588 32900600 211
hs13 32900601 32900607 212
hs13 32900608 32900608 215
hs13 32900609 32900956 216
hs13 32900957 32900960 215
hs13 32900961 32900963 214
hs13 32900964 32900964 213
hs13 32900965 32900965 212
hs13 32900966 32900966 211
hs13 32900967 32900967 192
hs13 32900968 32900968 28
hs13 32900969 32903454 0
hs13 32903455 32903455 2
hs13 32903456 32903456 3
hs13 32903457 32903457 227
hs13 32903458 32903458 232
hs13 32903459 32903459 234
hs13 32903460 32903462 235
hs13 32903463 32903463 240
hs13 32903464 32903468 246
hs13 32903469 32903782 247
hs13 32903783 32903786 246
hs13 32903787 32903793 245
hs13 32903794 32903794 243
hs13 32903795 32903796 241
hs13 32903797 32903797 240
hs13 32903798 32903798 236
hs13 32903799 32903799 1
hs13 32903800 32904929 0
hs13 32904930 32904930 1
hs13 32904931 32904931 3
hs13 32904932 32904932 146
hs13 32904933 32904933 151
hs13 32904934 32904934 152
hs13 32904935 32904937 153
hs13 32904938 32905188 154
hs13 32905189 32905189 153
hs13 32905190 32905194 152
hs13 32905195 32905195 149
hs13 32905196 32905196 143
hs13 32905197 32905197 1
hs13 32905198 32906325 0
hs13 32906326 32906326 145
hs13 32906327 32906504 150
hs13 32906505 32906505 153
hs13 32906506 32906506 346
hs13 32906507 32906508 351
hs13 32906509 32906520 353
hs13 32906521 32906701 363
hs13 32906702 32906704 362
hs13 32906705 32906706 361
hs13 32906707 32906707 359
hs13 32906708 32906708 355
hs13 32906709 32906830 213
hs13 32906831 32906831 215
hs13 32906832 32906832 459
hs13 32906833 32906834 463
hs13 32906835 32906835 464
hs13 32906836 32906839 465
hs13 32906840 32906842 466
hs13 32906843 32906872 467
hs13 32906873 32906879 466
hs13 32906880 32906880 453
hs13 32906881 32906881 450
hs13 32906882 32906885 449
hs13 32906886 32906886 442
hs13 32906887 32906887 255
hs13 32906888 32907024 254
hs13 32907025 32907025 259
hs13 32907026 32907026 407
hs13 32907027 32907029 409
hs13 32907030 32907170 410
hs13 32907171 32907175 409
hs13 32907176 32907176 397
hs13 32907177 32907177 390
hs13 32907178 32907179 389
hs13 32907180 32907180 388
hs13 32907181 32907181 158
hs13 32907182 32907208 156
hs13 32907209 32907209 161
hs13 32907210 32907210 363
hs13 32907211 32907212 369
hs13 32907213 32907213 371
hs13 32907214 32907215 372
hs13 32907216 32907216 375
hs13 32907217 32907224 376
hs13 32907225 32907236 381
hs13 32907237 32907346 382
hs13 32907347 32907347 380
hs13 32907348 32907348 378
hs13 32907349 32907349 370
hs13 32907350 32907350 233
hs13 32907351 32907573 226
hs13 32907574 32907581 225
hs13 32907582 32907585 224
hs13 32907586 32907586 222
hs13 32907587 32907587 207
hs13 32907588 32907588 2
hs13 32907589 32910359 0
hs13 32910360 32910360 3
hs13 32910361 32910361 193
hs13 32910362 32910362 199
hs13 32910363 32910363 200
hs13 32910364 32910366 201
hs13 32910367 32910368 202
hs13 32910369 32910374 203
hs13 32910375 32910603 205
hs13 32910604 32910604 211
hs13 32910605 32910605 449
hs13 32910606 32910606 455
hs13 32910607 32910607 456
hs13 32910608 32910695 457
hs13 32910696 32910699 456
hs13 32910700 32910700 454
hs13 32910701 32910701 448
hs13 32910702 32910868 252
hs13 32910869 32910869 265
hs13 32910870 32910870 461
hs13 32910871 32910873 467
hs13 32910874 32910874 468
hs13 32910875 32910879 469
hs13 32910880 32910884 470
hs13 32910885 32910913 479
hs13 32910914 32910926 478
hs13 32910927 32910945 477
hs13 32910946 32910955 476
hs13 32910956 32910956 474
hs13 32910957 32910957 466
hs13 32910958 32910958 229
hs13 32910959 32911109 227
hs13 32911110 32911110 229
hs13 32911111 32911111 528
hs13 32911112 32911118 532
hs13 32911119 32911120 534
hs13 32911121 32911125 535
hs13 32911126 32911248 556
hs13 32911249 32911249 547
hs13 32911250 32911252 546
hs13 32911253 32911253 543
hs13 32911254 32911254 537
hs13 32911255 32911255 349
hs13 32911256 32911332 329
hs13 32911333 32911333 330
hs13 32911334 32911334 575
hs13 32911335 32911335 586
hs13 32911336 32911336 587
hs13 32911337 32911341 590
hs13 32911342 32911482 591
hs13 32911483 32911483 589
hs13 32911484 32911484 581
hs13 32911485 32911485 576
hs13 32911486 32911486 263
hs13 32911487 32911565 261
hs13 32911566 32911566 278
hs13 32911567 32911567 441
hs13 32911568 32911568 447
hs13 32911569 32911573 448
hs13 32911574 32911585 470
hs13 32911586 32911680 471
hs13 32911681 32911688 469
hs13 32911689 32911689 468
hs13 32911690 32911692 467
hs13 32911693 32911693 461
hs13 32911694 32911694 212
hs13 32911695 32911855 209
hs13 32911856 32911856 212
hs13 32911857 32911857 217
hs13 32911858 32911858 474
hs13 32911859 32911860 480
hs13 32911861 32911864 481
hs13 32911865 32911870 483
hs13 32911871 32911908 484
