band hs n1 n2 from to name
band hs13 NM_000059_1 NM_000059_1 32889617 32889804 BRCA2
band hs13 NM_000059_2 NM_000059_2 32890559 32890664 BRCA2
band hs13 NM_000059_3 NM_000059_3 32893214 32893462 BRCA2
band hs13 NM_000059_4 NM_000059_4 32899213 32899321 BRCA2
band hs13 NM_000059_5 NM_000059_5 32900238 32900287 BRCA2
band hs13 NM_000059_6 NM_000059_6 32900379 32900419 BRCA2
band hs13 NM_000059_7 NM_000059_7 32900636 32900750 BRCA2
band hs13 NM_000059_8 NM_000059_8 32903580 32903629 BRCA2
band hs13 NM_000059_9 NM_000059_9 32905056 32905167 BRCA2
band hs13 NM_000059_10 NM_000059_10 32906409 32907524 BRCA2
band hs13 NM_000059_11 NM_000059_11 32910402 32915333 BRCA2
band hs13 NM_000059_12 NM_000059_12 32918695 32918790 BRCA2
band hs13 NM_000059_13 NM_000059_13 32920964 32921033 BRCA2
band hs13 NM_000059_14 NM_000059_14 32928998 32929425 BRCA2
band hs13 NM_000059_15 NM_000059_15 32930565 32930746 BRCA2
band hs13 NM_000059_16 NM_000059_16 32931879 32932066 BRCA2
band hs13 NM_000059_17 NM_000059_17 32936660 32936830 BRCA2
band hs13 NM_000059_18 NM_000059_18 32937316 32937670 BRCA2
band hs13 NM_000059_19 NM_000059_19 32944539 32944694 BRCA2
band hs13 NM_000059_20 NM_000059_20 32945093 32945237 BRCA2
band hs13 NM_000059_21 NM_000059_21 32950807 32950928 BRCA2
band hs13 NM_000059_22 NM_000059_22 32953454 32953652 BRCA2
band hs13 NM_000059_23 NM_000059_23 32953887 32954050 BRCA2
band hs13 NM_000059_24 NM_000059_24 32954144 32954282 BRCA2
band hs13 NM_000059_25 NM_000059_25 32968826 32969070 BRCA2
band hs13 NM_000059_26 NM_000059_26 32971035 32971181 BRCA2
band hs13 NM_000059_27 NM_000059_27 32972299 32973809 BRCA2
band hs17 NM_007294_23 NM_007294_23 41196312 41197819 BRCA1
band hs17 NM_007294_22 NM_007294_22 41199660 41199720 BRCA1
band hs17 NM_007294_21 NM_007294_21 41201138 41201211 BRCA1
band hs17 NM_007294_20 NM_007294_20 41203080 41203134 BRCA1
band hs17 NM_007294_19 NM_007294_19 41209069 41209152 BRCA1
band hs17 NM_007294_18 NM_007294_18 41215350 41215390 BRCA1
band hs17 NM_007294_17 NM_007294_17 41215891 41215968 BRCA1
band hs17 NM_007294_16 NM_007294_16 41219625 41219712 BRCA1
band hs17 NM_007294_15 NM_007294_15 41222945 41223255 BRCA1
band hs17 NM_007294_14 NM_007294_14 41226348 41226538 BRCA1
band hs17 NM_007294_13 NM_007294_13 41228505 41228631 BRCA1
band hs17 NM_007294_12 NM_007294_12 41234421 41234592 BRCA1
band hs17 NM_007294_11 NM_007294_11 41242961 41243049 BRCA1
band hs17 NM_007294_10 NM_007294_10 41243452 41246877 BRCA1
band hs17 NM_007294_9 NM_007294_9 41247863 41247939 BRCA1
band hs17 NM_007294_8 NM_007294_8 41249261 41249306 BRCA1
band hs17 NM_007294_7 NM_007294_7 41251792 41251897 BRCA1
band hs17 NM_007294_6 NM_007294_6 41256139 41256278 BRCA1
band hs17 NM_007294_5 NM_007294_5 41256885 41256973 BRCA1
band hs17 NM_007294_4 NM_007294_4 41258473 41258550 BRCA1
band hs17 NM_007294_3 NM_007294_3 41267743 41267796 BRCA1
band hs17 NM_007294_2 NM_007294_2 41276034 41276132 BRCA1
band hs17 NM_007294_1 NM_007294_1 41277288 41277500 BRCA1
